lemma,verb form,Sentence,dep set,count of dep set,perc of dep set,entropy,index of verb,Doc index,Sent index,verb count overall
edit,editing,"Woke up at 7:15 am to finish editing a final presentation for my Revelation to John class, a New Testament course that pairs more typical textual analysis with artistic interpretation.",dobj_dative,1,2%,1.53,7,8484,0,51
go_on,going_on,"I couldn't stand the thought of going on that long of a trip without music, I'd go nuts.",dobj,1,2%,1.07,7,38497,16,52
produce,produce,"When he catches you, you can protest your innocence and produce the receipt for it.",dobj_dative,1,2%,1.19,11,20882,4,52
sit_down,sat_down,"Ohh yes, aparently, it's ok for people to sleep upstairs, but when they go downstairs they are way out of line!they took us upstairs and sat us down on the couches at the main counter place, and James was looking like a crack addict",prep_dobj,1,2%,1.53,29,29486,34,52
grant,granted,"Although I may have taken it for granted at the time, I definitely value the education that I received in religion during my elementary and secondary education.",prep,1,2%,1.08,7,13290,13,53
touch,touching,"Apparently, this movie addresses some of those themes, and is pretty funny and touching in the process.",prep,2,4%,1.16,15,27507,4,53
touch,touching,i hope my wedding will be that touching to the guests!!,prep,2,4%,1.16,7,36960,27,53
protect,protected,Could the rows and rows of fences simply be a silent scream to all who will take noticed - 'We need to feel safe and protected!',NO_DEPS,3,6%,1.35,26,10109,17,53
protect,protected,"Although the First Amendment may require unwilling adults to absorb the first blow of offensive but protected speech when they are in public before they turn away, see, e. g., Erznoznik, supra, at 210-211, but cf.",NO_DEPS,3,6%,1.35,16,16759,748,53
protect,Protected,Protected?:,NO_DEPS,3,6%,1.35,0,30194,26,53
shut,shut,Mood: very focused  What i should put in mind: I better keep my mouth shut during st. john ambulance 1st aid class.,prep,3,6%,1.54,17,21232,0,53
shut,shut,"I did think to ask which drugs the test looked for, but I decided to keep my mouth shut for that.",prep,3,6%,1.54,19,25905,4,53
shut,shut,"Needless to say, I kept my mouth shut during this whole episode.",prep,3,6%,1.54,8,7763,16,53
vote,voting,i think i will end up voting republican for governor and democrat for president.,prep_dobj,2,4%,1.55,6,23978,7,53
vote,vote,"let's all stand up together and vote the idiot and his crew of scum and villainy out of office, ok?",prep_dobj,2,4%,1.55,7,34132,5,53
catch_up,catch_up,The phones are silent on this Thursday (shhhh..knock wood on that one) so I am going to try to take this opportunity to write and catch my character up in the current BlackHawke storyline.,prep_dobj,1,2%,1.3,29,23843,3,54
avoid,avoided,"I don't know what I have done to make me, so suddenly, abhorred and avoided.",NO_DEPS,4,7%,1,17,9772,0,55
avoid,avoid,avoid?,NO_DEPS,4,7%,1,0,12524,20,55
avoid,avoided,"I jumped puddles, avoided maniac",NO_DEPS,4,7%,1,4,21134,6,55
avoid,avoid,Hit me Come on]  CHORUS Let's talk about sex baby Let's talk about you and me  Let's talk about all the good things And the bad things that may be  Let's talk about sex  Let's talk about sex  Let's talk about sex  Let's talk about sex  Let's talk about sex  for now to the people at home or in the crowd It keeps coming up anyhow Don't decoy avoid or make void the topic,NO_DEPS,4,7%,1,86,36131,1,55
screw,screwed,"This year, I have been fucked with, rejected with, screwed with, played with and almost any other adjective you can think of.",prep,2,4%,1.13,12,8845,6,55
screw,screw,"Standing alone, hearing hundreds of voices but not a single word and watching this mass of humanity that takes 'let's get drunk and screw' as a life motto, the thinker cringes.",prep,2,4%,1.13,26,22810,42,55
carry,carry,Apparently our conceal and carry statute has been ruled unconstitutional by a district court judge.,NO_DEPS,1,2%,1.39,4,7890,0,55
cross,crossed,"He's got to pop and see this guy at three o'clock, so everyone keep everything crossed for him!!!!!!!!!!!!",prep,2,4%,1.52,17,22573,1,55
cross,crossed,i'll keep my fingers crossed till friday!,prep,2,4%,1.52,5,36909,27,55
rid,rid,I do put time aside from my normal everyday life to help rid the society of those who plan to destroy it.,dobj,1,2%,0.35,12,31512,9,56
wash,washing,"I finished washing at about 8.30 pm and now I am here, writing this blog!",prep,1,2%,1.44,2,22331,13,56
experience,experience,It's a cool thing to experience...and you get to meet people!,NO_DEPS,5,9%,0.95,6,13101,61,57
experience,experience,There is so much I want to see and do and experience while I am here.,NO_DEPS,5,9%,0.95,11,17446,25,57
experience,experience,14 years later as i continue to be with her and watch her and experience who she is and how she interacts with the world and with me and with our kids (etc.),NO_DEPS,5,9%,0.95,14,23099,11,57
experience,experience,"I think my problem is that with every trip and experience abroad, I learn of new places I want to see and experience.",NO_DEPS,5,9%,0.95,23,22495,9,57
experience,experience,I think I'm gonna start writing a real diary (journal) again to remember all the cool things that we are going to do and experience...,NO_DEPS,5,9%,0.95,28,23373,10,57
come_on,Come_on,*pulls hand away rapidly*  Baka:  Come on you big tease.,dobj_dative,1,2%,0.63,10,35197,19,58
shit,shit,"'So what i'm going to do is go downstairs, and shit myself, then I'm going to vomit, and then I figure I'm going to be ok.'      -Greg",dobj,4,7%,1.19,13,36040,0,59
shit,Shit,Shit him n HER!,dobj,4,7%,1.19,0,27102,19,59
shit,shit,I love you girl~!~      Brittany~ Alwayz been tight and shit blue balls.,dobj,4,7%,1.19,10,18516,15,59
shit,shit,"I swear, if he had known I was sixteen, he would have shit a brick!!!!",dobj,4,7%,1.19,14,9983,390,59
waste,wasted,"and, when i'm completely off-my-ass wasted at the reception, i will slur to my disapproving relatives, 'fuck you.",prep,1,2%,1.36,11,20458,7,59
